Problem,Rationale,options,correct,annotated_formula,linear_formula,category
what is the probability of getting atmost one head when two unbiased coin are tossed ?,"""here s = { hh , ht , th , tt } let ee = event of getting one head e = { tt , ht , th } p ( e ) = n ( e ) / n ( s ) = 3 / 4 option a""","a ) 3 / 4 , b ) 3 / 2 , c ) 4 / 3 , d ) 1 / 2 , e ) 2 / 6",a,"divide(const_2, choose(add(const_3, const_3), const_3))","add(const_3,const_3)|choose(#0,const_3)|divide(const_2,#1)|",probability
a coin is tossed 6 times . what is the probability of getting exactly 5 heads ?,"""the number of possible outcomes is 2 ^ 6 = 64 there are 6 ways to get exactly 5 heads . p ( exactly 5 heads ) = 6 / 64 = 3 / 32 the answer is d .""","a ) 3 / 8 , b ) 3 / 16 , c ) 5 / 16 , d ) 3 / 32 , e ) 7 / 64",d,"multiply(power(divide(const_1, const_2), 5), multiply(choose(6, 5), divide(const_1, const_2)))","choose(n0,n1)|divide(const_1,const_2)|multiply(#0,#1)|power(#1,n1)|multiply(#2,#3)|",probability
what is the probability of getting a sum 9 from two throws of dice,"""explanation : total number of cases = 6 * 6 = 36 favoured cases = [ ( 3,6 ) , ( 4,5 ) , ( 6,3 ) , ( 5,4 ) ] = 4 so probability = 4 / 36 = 1 / 9 answer : b""","a ) 1 / 3 , b ) 1 / 9 , c ) 1 / 12 , d ) 2 / 9 , e ) none of these",b,"divide(const_2, choose(add(const_3, const_3), const_3))","add(const_3,const_3)|choose(#0,const_3)|divide(const_2,#1)|",probability
"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 10 . for a group of 400 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?","""number of newborns that can die in first month = 1 / 10 * 400 = 40 survived = 360 number of newborns that can die in second month = 1 / 10 * 360 = 36 survived = 324 number of newborns that can die in third month = 1 / 10 * 324 = 32 survived = 292 answer : d""","a ) 240 , b ) 246 , c ) 252 , d ) 292 , e ) 298",d,"multiply(multiply(multiply(400, subtract(1, divide(1, 10))), subtract(1, divide(1, 10))), subtract(1, divide(1, 10)))","divide(n1,n2)|subtract(n1,#0)|multiply(n3,#1)|multiply(#2,#1)|multiply(#3,#1)|",probability
a bag contains 6 black and 5 white balls . one ball is drawn at random . what is the probability that the ball drawn is white ?,"""let number of balls = ( 6 + 5 ) = 11 . number of white balls = 5 p ( drawing a white ball ) = 5 / 11 option b .""","a ) 3 / 4 , b ) 5 / 11 , c ) 1 / 7 , d ) 1 / 8 , e ) 4 / 3",b,"divide(add(divide(divide(factorial(5), factorial(subtract(5, const_2))), factorial(const_2)), divide(divide(factorial(6), factorial(subtract(6, const_2))), factorial(const_2))), divide(divide(factorial(add(6, 5)), factorial(subtract(add(6, 5), const_2))), factorial(const_2)))","add(n0,n1)|factorial(n1)|factorial(const_2)|factorial(n0)|subtract(n1,const_2)|subtract(n0,const_2)|factorial(#4)|factorial(#5)|factorial(#0)|subtract(#0,const_2)|divide(#1,#6)|divide(#3,#7)|factorial(#9)|divide(#10,#2)|divide(#11,#2)|divide(#8,#12)|add(#13,#14)|divide(#15,#2)|divide(#16,#17)|",probability
what is the probability of getting a sum of 12 when rolling 3 dice simultaneously ?,"""sum of 12 can be achieved in following ways 6 , 5,1 - - - total cases = 3 ! = 6 6 , 4,2 - - - total cases = 3 ! = 6 6 , 3,3 - - - total cases = 3 ! / 2 ! = 3 5 , 5,2 - - - total cases = 3 ! / 2 ! = 3 5 , 4,3 - - - total cases = 3 ! = 6 4 , 4,4 - - - total cases = 3 ! / 3 ! = 1 total cases = 25 probability = 25 * ( 1 / 6 * 1 / 6 * 1 / 6 ) = 25 / 216 answer : e""","a ) 10 / 216 , b ) 12 / 216 , c ) 21 / 216 , d ) 23 / 216 , e ) 25 / 216",e,"divide(const_2, choose(add(const_3, const_3), const_3))","add(const_3,const_3)|choose(#0,const_3)|divide(const_2,#1)|",probability
in how many ways 4 boys and 2 girls can be seated in a row so that they are alternate .,"""solution : let the arrangement be , b g b g b b 4 boys can be seated in 4 ! ways . girl can be seated in 2 ! ways . required number of ways , = 4 ! * 2 ! = 48 answer : option a""","a ) 48 , b ) 288 , c ) 12 , d ) 256 , e ) none",a,"multiply(factorial(4), factorial(2))","factorial(n0)|factorial(n1)|multiply(#0,#1)|",probability
in how many ways 7 boys and 7 girls can be seated in a row so that boys and girls are alternate ?,"""number of ways = 2 * 7 ! * 7 ! = 50803200 answer is a""","a ) 50803200 , b ) 50328000 , c ) 50003280 , d ) 50703200 , e ) 50603200",a,"multiply(factorial(7), factorial(7))","factorial(n0)|factorial(n1)|multiply(#0,#1)|",probability
"a certain junior class has 3000 students and a certain senior class has 800 students . among these students , there are 60 siblings pairs each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected will be a sibling pair ?","""let ' s see pick 60 / 3000 first then we can only pick 1 other pair from the 800 so total will be 60 / 800 * 3000 simplify and you get 1 / 40000 answer is a""","a ) 1 / 40000 , b ) 1 / 3600 , c ) 9 / 2000 , d ) 1 / 60 , e ) 1 / 15",a,"divide(1, const_3)","divide(n3,const_3)|",probability
"a bag contains 10 red jellybeans and 10 blue jellybeans . if 3 jellybeans are removed one at a time , at random and are not replaced , what is the probability t that all 3 jellybeans removed from the bag are blue ?","""method - 1 10 red jellybeans and 10 blue jellybeans total outcomes = no . of ways to choose 3 jelly bean at random out of a total 20 jellybeans = 20 c 3 = 1140 favourable outcomes = no . of ways to choose 3 jelly bean such that they are all blue out of 10 blue = 10 c 3 = 120 probability = favourable outcomes / total outcomes = 10 c 3 / 20 c 3 probability t = 120 / 1140 = 2 / 19 answer : option b method - 2 probability of first jelly bean to be blue = 10 / 20 [ total 10 blue out of total 20 jellybeans ] probability of second jelly bean to be blue = 9 / 19 [ total 9 blue remaining out of total 19 jellybeans remaining ] probability of third jelly bean to be blue = 8 / 18 [ total 8 blue remaining out of total 18 jellybeans remaining ] required probability = ( 10 / 20 ) * ( 9 / 19 ) * ( 8 / 18 ) = 2 / 19 answer : option b""","a ) 9 / 100 , b ) 2 / 19 , c ) 1 / 8 , d ) 3 / 20 , e ) 3 / 10",b,"divide(choose(10, 3), choose(add(10, 10), 3))","add(n0,n0)|choose(n0,n2)|choose(#0,n2)|divide(#1,#2)|",probability
a fair coin is tossed 3 times . what is the probability of getting at least 2 heads ?,"""let ' s find the probability of 2 heads , 3 heads p ( hhh ) = ( ( 1 / 2 ) ^ 3 = 1 / 8 . p ( hht ) = ( 3 ! / 2 ! ) * ( 1 / 2 ) ^ 3 = 3 / 8 total probablity = 1 / 8 + 3 / 8 = 1 / 2 answer ( d )""","a ) 3 / 4 , b ) 3 / 2 , c ) 1 / 4 , d ) 1 / 2 , e ) 1 / 5",d,"divide(add(add(add(choose(3, const_2), choose(3, const_3)), choose(3, const_4)), choose(3, 3)), power(const_2, 3))","choose(n0,const_2)|choose(n0,const_3)|choose(n0,const_4)|choose(n0,n0)|power(const_2,n0)|add(#0,#1)|add(#5,#2)|add(#6,#3)|divide(#7,#4)|",probability
"a meeting has to be conducted with 4 managers . find the number of ways in which the managers be selected from among 7 managers , if 2 managers will not attend the meeting together ?","""we can either choose all 4 people from 5 manager who have no problems or choose 3 from the 5 and 1 from the 2 managers who have a problem sitting together so 5 c 4 + ( 5 c 3 * 2 c 1 ) this is 5 + 20 = 25 answer : a""","a ) 25 , b ) 20 , c ) 35 , d ) 36 , e ) 38",a,"subtract(choose(7, 4), choose(subtract(7, 2), 2))","choose(n1,n0)|subtract(n1,n2)|choose(#1,n2)|subtract(#0,#2)|",probability
"there are 6 books on a shelf , of which 2 are paperbacks and 4 are hardbacks . how many possible selections of 4 books from this shelf include at least one paperback ?","""approach 1 at - least 1 paper back = total - no paper back 6 c 4 - 4 c 4 = 14 approach 2 at - least 1 paper back = 1 paper back , 3 hard back or 2 paper back 2 hard back = 2 c 1 * 4 c 3 + 2 c 2 * 4 c 2 = 14 answer is b""","a ) a ) 40 , b ) b ) 14 , c ) c ) 50 , d ) d ) 55 , e ) e ) 60",b,"subtract(choose(6, 4), choose(4, 4))","choose(n0,n3)|choose(n2,n3)|subtract(#0,#1)|",probability
there is a 5 % chance that tigers will not win at all during the whole season . there is a 5 % chance that federer will not play at all in the whole season . what is the greatest possible probability that the tigers will win and federer will play during the season ?,"""there is a 5 % chance that tigers will not win at all during the whole season we can infer that there is 95 % chance tigers will win . similarly there is a 5 % chance that federer will not play at all in the whole season we can also infer that there is 95 % chance that federer will play . answer e""","a ) 55 % , b ) 60 % , c ) 70 % , d ) 72 % , e ) 95 %",e,"multiply(subtract(const_1, divide(5, multiply(multiply(const_2, const_5), multiply(const_2, const_5)))), subtract(const_1, divide(5, multiply(multiply(const_2, const_5), multiply(const_2, const_5)))))","multiply(const_2,const_5)|multiply(#0,#0)|divide(n1,#1)|divide(n0,#1)|subtract(const_1,#2)|subtract(const_1,#3)|multiply(#4,#5)|",probability
"a jar contains 6 black and 2 white balls . if you pick two balls at the same time , what ' s the probability that one ball is black and one is white ?","""p ( 1 st black , 2 nd white ) = 6 / 8 * 2 / 7 = 12 / 56 ; p ( 1 st white , 2 nd black ) = 2 / 8 * 6 / 7 = 12 / 56 . p = 12 / 56 + 12 / 56 = 24 / 112 = 12 / 56 = 6 / 28 = 3 / 14 . answer : e .""","a ) 2 / 7 , b ) 5 / 7 , c ) 4 / 7 , d ) 3 / 15 , e ) 3 / 14",e,"multiply(divide(6, add(6, 2)), divide(2, subtract(add(6, 2), const_1)))","add(n0,n1)|divide(n0,#0)|subtract(#0,const_1)|divide(n1,#2)|multiply(#1,#3)|",probability
how many cubes of 4 cm edge can be cut out of a cube of 28 cm edge,"""explanation : number of cubes = ( 28 x 28 x 28 ) / ( 4 x 4 x 4 ) = 343 answer : a""","a ) 343 , b ) 232 , c ) 216 , d ) 484 , e ) none of these",a,"divide(volume_cube(28), volume_cube(divide(4, const_100)))","divide(n0,const_100)|volume_cube(n1)|volume_cube(#0)|divide(#1,#2)|",probability
"a string of 13 light bulbs is wired in such a way that if any individual light bulb fails , the entire string fails . if for each individual light bulb the probability of failing during time period t is 0.02 , what is the probability that the string of light bulbs will fail during the time period t ?","""the string of light bulbs will fail if at least one light bulb fails . so , let ' s find the probability of the opposite event and subtract that value from 1 . the opposite event is when none of the 13 light bulbs fails , since the probability of each light bulb not to fail is 1 - 0.02 = 0.98 the the probability that none of the 13 light bulbs fails is 0.98 ^ 13 . hence , the probability that at least one light bulb fails is 1 - 0.98 ^ 13 . answer : e . now , you should have spotted that your reasoning was not right because of one simple thing , consider the case when we have 100 light bulbs instead of 13 , then according to your logic the probability that the string of light bulbs will fail would be 100 * 0.02 = 2 , which is not possible since the probability of an event can not be more than 1 ( 100 % ) .""","a ) 0.02 , b ) ( 0.02 ) ^ 13 , c ) 1 - ( 0.02 ) ^ 13 , d ) ( 0.98 ) ^ 13 , e ) 1 - ( 0.98 ) ^ 13",e,"subtract(const_1, power(subtract(const_1, 0.02), 13))","subtract(const_1,n1)|power(#0,n0)|subtract(const_1,#1)|",probability
a father purchased dress for his 3 daughters . the dresses are of same color but diff size and they are kept in dark room . what is probability that all the 3 will not choose their own dress ?,answer : b,"a ) 22 , b ) 87 , c ) 29 , d ) 26 , e ) 191",b,"divide(choose(const_2, const_1), factorial(3))","choose(const_2,const_1)|factorial(n0)|divide(#0,#1)|",probability
"how many different ways can 2 students be seated in a row of 3 desks , so that there is always at least one empty desk between the students ?","""1 ways to seat the students : with two empty seats between 1 empty w / one student on the left most 1 empty . . . . right most two students can be interchanged 1 x 2 = 2 a""","a ) 2 , b ) 3 , c ) 4 , d ) 6 , e ) 12",a,"permutation(subtract(3, const_1), 2)","subtract(n1,const_1)|permutation(#0,n0)|",probability
"from a pack of 52 cards , two cards are drawn at random together at random what is the probability of both the cards being kings ?","""let s be the sample space then n ( s ) = 52 c 2 = ( 52 * 51 ) / ( 2 * 1 ) = 1326 let e be the event of getting 2 kings out of 4 n ( e ) = 4 c 2 = ( 4 * 3 ) / ( 2 * 1 ) = 6 p ( e ) = n ( e ) / n ( s ) = 6 / 1326 = 1 / 221 answer ( a )""","a ) 1 / 221 , b ) 8 / 221 , c ) 4 / 589 , d ) 4 / 587 , e ) 7 / 654",a,"divide(multiply(divide(52, const_4), divide(52, const_4)), choose(52, const_2))","choose(n0,const_2)|divide(n0,const_4)|multiply(#1,#1)|divide(#2,#0)|",probability
in a throw of dice what is the probability of ge æ « ng number greater than 2,"explanation : number greater than 2 is 3 , 4 , 5 & 6 , so only 4 number total cases of dice = [ 1,2 , 3,4 , 5,6 ] so probability = 4 / 6 = 2 / 3 answer : b","a ) 1 / 2 , b ) 2 / 3 , c ) 1 / 5 , d ) 1 / 6 , e ) none of these",b,"divide(subtract(const_6, 2), const_6)","subtract(const_6,n0)|divide(#0,const_6)",probability
when fair coin is tossed 9 times find the probability of getting head at least once .,1 - 1 / 2 ^ 9 = 1 - 1 / 512 = 511 / 512 answer : b,"a ) 1 / 512 , b ) 511 / 512 , c ) 9 / 512 , d ) 503 / 51 , e ) 503 / 510",b,"subtract(const_1, power(divide(const_1, const_2), 9))","divide(const_1,const_2)|power(#0,n0)|subtract(const_1,#1)",probability
the probability that a number selected at random from first 50 natural numbers is a composite number is,"""the number of exhaustive events = 50 c 1 = 50 . we have 15 primes from 1 to 50 . number of favourable cases are 34 . therefore , required probability = 34 / 50 = 17 / 25 . answer : b""","a ) 21 / 25 , b ) 17 / 25 , c ) 4 / 25 , d ) 8 / 25 , e ) 10 / 25",b,"divide(multiply(subtract(multiply(const_6, const_3), const_1), const_2), 50)","multiply(const_3,const_6)|subtract(#0,const_1)|multiply(#1,const_2)|divide(#2,n0)|",probability
a fair coin is tossed 9 times . what is the probability of getting more heads than tails in 9 tosses ?,"""on each toss , the probability of getting a head is 1 / 2 and the probability of getting a tail is 1 / 2 . there is no way to get the same number of heads and tails on an odd number of tosses . there will either be more heads or more tails . then there must be more heads on half of the possible outcomes and more tails on half of the possible outcomes . p ( more heads ) = 1 / 2 the answer is a .""","a ) 1 / 2 , b ) 63 / 128 , c ) 4 / 7 , d ) 61 / 256 , e ) 63 / 64",a,"divide(add(add(add(choose(9, const_2), choose(9, const_3)), choose(9, const_4)), choose(9, 9)), power(const_2, 9))","choose(n0,const_2)|choose(n0,const_3)|choose(n0,const_4)|choose(n0,n0)|power(const_2,n0)|add(#0,#1)|add(#5,#2)|add(#6,#3)|divide(#7,#4)|",probability
there are 5 red shoes & 4 green shoes . if two of red shoes are drawn what is the probability of getting red shoes,taking 2 red shoe the probability is 5 c 2 from 9 shoes probability of taking 2 red shoes is 5 c 2 / 9 c 2 = 5 / 18 answer : c,"a ) 1 / 18 , b ) 1 / 14 , c ) 5 / 18 , d ) 1 / 15 , e ) 1 / 16",c,"divide(choose(5, const_2), choose(add(5, 4), const_2))","add(n0,n1)|choose(n0,const_2)|choose(#0,const_2)|divide(#1,#2)",probability
what is the probability of getting a sum 9 from two throw of a dice ?,"""in two throws of die , n ( s ) = 36 let e = event of getting a sum 9 = { ( 3,6 ) , ( 4,5 ) , ( 5,4 ) , ( 6,3 ) } p ( e ) = 4 / 36 = 1 / 9 answer c 1 / 9""","a ) 1 / 6 , b ) 1 / 8 , c ) 1 / 9 , d ) 1 / 12 , e ) 1 / 13",c,"divide(const_2, choose(add(const_3, const_3), const_3))","add(const_3,const_3)|choose(#0,const_3)|divide(const_2,#1)|",probability
"a bag contains 12 red jellybeans and 12 blue jellybeans . if 3 jellybeans are removed one at a time , at random and are not replaced , what is the probability that all 3 jellybeans removed from the bag are blue ?","""method - 1 10 red jellybeans and 10 blue jellybeans total outcomes = no . of ways to choose 3 jelly bean at random out of a total 20 jellybeans = 20 c 3 = 1140 favourable outcomes = no . of ways to choose 3 jelly bean such that they are all blue out of 10 blue = 10 c 3 = 120 probability = favourable outcomes / total outcomes = 10 c 3 / 20 c 3 probability = 120 / 1140 = 2 / 19 answer : option b method - 2 probability of first jelly bean to be blue = 10 / 20 [ total 10 blue out of total 20 jellybeans ] probability of second jelly bean to be blue = 9 / 19 [ total 9 blue remaining out of total 19 jellybeans remaining ] probability of third jelly bean to be blue = 8 / 18 [ total 8 blue remaining out of total 18 jellybeans remaining ] required probability = ( 10 / 20 ) * ( 9 / 19 ) * ( 8 / 18 ) = 3 / 10 answer : option e""","a ) 9 / 100 , b ) 2 / 19 , c ) 1 / 8 , d ) 3 / 20 , e ) 3 / 10",e,"divide(choose(12, 3), choose(add(12, 12), 3))","add(n0,n0)|choose(n0,n2)|choose(#0,n2)|divide(#1,#2)|",probability
"if two integers x , y ( x > y ) are selected from - 10 to 11 ( inclusive ) , how many possible cases are there ?","""if two integers x , y ( x > y ) are selected from - 10 to 9 ( inclusive ) , how many possible cases are there ? a . 150 b . 180 c . 190 d . 210 e . 240 - - > 22 c 2 = 22 * 21 / 2 = 231 . therefore , the answer is e .""","a ) 150 , b ) 180 , c ) 190 , d ) 210 , e ) 231",e,"add(add(add(add(add(add(add(11, 10), add(11, const_2)), add(11, const_1)), 11), 10), const_2), const_1)","add(n0,n1)|add(n1,const_2)|add(n1,const_1)|add(#0,#1)|add(#3,#2)|add(#4,n1)|add(#5,n0)|add(#6,const_2)|add(#7,const_1)|",probability
"joe has candys on his pocket , 4 of those candies have lemon flavor , and 3 have caramel flavor . if joe take one , what is the probability that he picks one caramel flavor ?","the total number of candies is 7 and the number of candies with lemon flavor is 3 then , in one chance the probability to pick one candie with lemon flavor is 3 / 7 answer d","a ) 1 , b ) 2 , c ) none , d ) 3 / 7 , e ) 3 / 4",d,"divide(3, add(4, 3))","add(n0,n1)|divide(n1,#0)",probability
"from a pack of 52 cards , 1 card is drawn at random . what is the probability that a king is drawn ?","""the total number of cards is 52 . the number of kings is 4 . p ( king ) = 4 / 52 = 1 / 13 the answer is c .""","a ) 1 / 4 , b ) 4 / 13 , c ) 1 / 13 , d ) 3 / 26 , e ) 7 / 52",c,"divide(multiply(const_4, const_3), 52)","multiply(const_3,const_4)|divide(#0,n0)|",probability
"if a coin has an equal probability of landing heads up or tails up each time it is flipped , what is the probability that the coin will land heads up exactly once in 3 consecutive flips ?","""total number of ways in which h or t can appear in 3 tosses of coin is = 2 * 2 * 2 = 8 ways for 2 t and 1 h thus probability is = p ( htt ) + p ( tth ) + p ( tht ) = 1 / 8 + 1 / 8 + 1 / 8 = 3 / 8 = . 375 answer : d""","a ) 0.125 , b ) 0.25 , c ) 0.75 , d ) 0.375 , e ) 0.666",d,"multiply(power(divide(const_1, const_2), 3), 3)","divide(const_1,const_2)|power(#0,n0)|multiply(n0,#1)|",probability
"a question paper has 2 parts , a & b , each containing 7 questions . if a student has to choose 5 from part a & 4 from part b , in how many ways can he choose the questions ?","""there 7 questions in part a out of which 5 question can be chosen as = 7 c 5 . similarly , 4 questions can be chosen from 7 questions of part b as = 7 c 4 . hence , total number of ways , = 7 c 5 * 7 c 4 = [ 7 ! / ( 2 ! 5 ! ) ] * [ 7 ! / ( 3 ! * 4 ! ) ] = { 21 } * { 7 * 6 * 5 * 4 / ( 4 * 3 * 2 * 1 ) } = 735 . e""","a ) 1100 , b ) 1200 , c ) 1235 , d ) 1354 , e ) 735",e,"divide(multiply(choose(7, 5), choose(7, 4)), 7)","choose(n1,n2)|choose(n1,n3)|multiply(#0,#1)|divide(#2,n1)|",probability
"it takes 60 identical printing machines 4 hours to print 200,000 cards . how long would it take 50 of these machines to print the same total ?","""50 % of 60 = 40 % or 0.30 4 hr x 60 min = 240 min 240 min x 0.30 = 72 min or 1 hr and 12 min 1 hr and 12 min + 4 hr = 5 hr and 12 min answer is e""","a ) 10 hr , b ) 5 hr , c ) 6 hr , d ) 4 hr 30 min , e ) 5 hr 12 min",e,"add(divide(60, 4), divide(200,000, 50))","divide(n0,n1)|divide(n2,n3)|add(#0,#1)|",probability
"on a ranch , a rancher can place a loop of rope , called a lasso , once in every 3 throws around a cow ’ s neck . what is the probability that the rancher will be able to place a lasso around a cow ’ s neck at least once in 4 attempts ?","""p ( missing all 3 ) = ( 2 / 3 ) ^ 4 = 16 / 81 p ( success on at least one attempt ) = 1 - 16 / 81 = 65 / 81 the answer is e .""","a ) 4 / 9 , b ) 5 / 9 , c ) 17 / 27 , d ) 23 / 27 , e ) 65 / 81",e,"subtract(const_1, power(divide(const_1, 3), 4))","divide(const_1,n0)|power(#0,n1)|subtract(const_1,#1)|",probability
"an urn contains 5 red , 6 blue and 8 green balls . 4 balls are randomly selected from the urn , find the probability that the drawn ball are 1 blue and 2 red and 1 green balls ?","""sample space = no . of ways 4 balls were drawn from urn = 19 c 4 = 3876 no . ways 1 blue and 2 red and 1 green balls were drawn from bag = 6 c 1 * 5 c 2 * 8 c 1 = 480 probability = 480 / 3876 = 40 / 323 ans - b""","a ) 20 / 323 , b ) 40 / 323 , c ) 60 / 273 , d ) 50 / 373 , e ) 40 / 373",b,"divide(multiply(choose(6, 1), choose(5, 2)), choose(add(add(5, 6), 8), 4))","add(n0,n1)|choose(n1,n4)|choose(n0,n5)|add(n2,#0)|multiply(#1,#2)|choose(#3,n3)|divide(#4,#5)|",probability
a coin is tossed 3 times . what is the probability of getting exactly 2 heads ?,"""the number of possible outcomes is 2 ^ 3 = 8 there are 3 ways to get exactly 2 heads . p ( exactly 2 heads ) = 3 / 8 the answer is c .""","a ) 1 / 2 , b ) 1 / 4 , c ) 3 / 8 , d ) 5 / 8 , e ) 3 / 16",c,"multiply(power(divide(const_1, const_2), 2), multiply(choose(3, 2), divide(const_1, const_2)))","choose(n0,n1)|divide(const_1,const_2)|multiply(#0,#1)|power(#1,n1)|multiply(#2,#3)|",probability
"from a pack of 52 cards , 1 card is drawn at random . what is the probability that a heart is drawn ?","""the total number of cards is 52 . the number of hearts is 13 . p ( heart ) = 13 / 52 = 1 / 4 the answer is c .""","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 4 , d ) 1 / 13 , e ) 3 / 26",c,"divide(multiply(const_4, const_3), 52)","multiply(const_3,const_4)|divide(#0,n0)|",probability
"there are 8 books on a shelf , of which 2 are paperbacks and 6 are hardbacks . how many possible selections of 3 books from this shelf include at least one paperback ?","""approach 1 at - least 1 paper back = total - no paper back 8 c 3 - 6 c 3 = 36 approach 2 at - least 1 paper back = 1 paper back , 3 hard back or 2 paper back 2 hard back = 2 c 1 * 6 c 2 + 2 c 2 * 6 c 1 = 36 answer is c""","a ) a ) 40 , b ) b ) 45 , c ) c ) 36 , d ) d ) 55 , e ) e ) 60",c,"subtract(choose(8, 3), choose(6, 3))","choose(n0,n3)|choose(n2,n3)|subtract(#0,#1)|",probability
four 6 faced dice are thrown together . the probability that all the four show the same number on them is ?,"""it all 4 numbers have to be same basically we want quadruplets . 1111 , 2222 , 3333 , 4444 , 5555 and 6666 . those are six in number . further the four dice can fall in 6 * 6 * 6 * 6 = 1296 ways . hence the probability is 6 / 1296 = 1 / 216 answer : b""","a ) 1 / 248 , b ) 1 / 216 , c ) 1 / 144 , d ) 1 / 200 , e ) 1 / 242",b,"multiply(multiply(multiply(divide(const_1, 6), divide(const_1, 6)), divide(const_1, 6)), divide(const_1, 6))","divide(const_1,n0)|multiply(#0,#0)|multiply(#0,#1)|multiply(#0,#2)|",probability
"a meeting has to be conducted with 5 managers . find the number of ways in which the managers may be selected from among 8 managers , if there are 2 managers who refuse to attend the meeting together .","""the total number of ways to choose 5 managers is 8 c 5 = 56 we need to subtract the number of groups which include the two managers , which is 6 c 3 = 20 . 56 - 20 = 36 the answer is a .""","a ) 36 , b ) 40 , c ) 45 , d ) 51 , e ) 56",a,"subtract(choose(8, 5), choose(subtract(8, 2), 2))","choose(n1,n0)|subtract(n1,n2)|choose(#1,n2)|subtract(#0,#2)|",probability
"a jar contains only red , yellow , and orange marbles . if there are 3 red , 5 yellow , and 4 orange marbles , and 3 marbles are chosen from the jar at random without replacing any of them , what is the probability that 2 yellow , 1 red , and no orange marbles will be chosen ?",5 c 2 * 3 c 1 = 10 * 3 = 30 12 c 3 = 220 3 / 22 answer : d,"a ) 1 / 60 , b ) 1 / 45 , c ) 2 / 45 , d ) 3 / 22 , e ) 5 / 22",d,"divide(multiply(choose(5, 2), choose(3, 1)), choose(add(add(5, 4), 3), 3))","add(n1,n2)|choose(n1,n4)|choose(n0,n5)|add(n0,#0)|multiply(#1,#2)|choose(#3,n0)|divide(#4,#5)",probability
a bag contains 10 black and 20 white balls . one ball is drawn at random . what is the probability that the ball drawn is white ?,"""total number of balls = 10 + 20 = 30 number of white balls = 20 probability of drawing a white ball = 20 / 30 = 2 / 3 answer is c""","a ) 1 / 2 , b ) 3 / 4 , c ) 2 / 3 , d ) 1 / 5 , e ) 3 / 7",c,"divide(add(divide(divide(factorial(20), factorial(subtract(20, const_2))), factorial(const_2)), divide(divide(factorial(10), factorial(subtract(10, const_2))), factorial(const_2))), divide(divide(factorial(add(10, 20)), factorial(subtract(add(10, 20), const_2))), factorial(const_2)))","add(n0,n1)|factorial(n1)|factorial(const_2)|factorial(n0)|subtract(n1,const_2)|subtract(n0,const_2)|factorial(#4)|factorial(#5)|factorial(#0)|subtract(#0,const_2)|divide(#1,#6)|divide(#3,#7)|factorial(#9)|divide(#10,#2)|divide(#11,#2)|divide(#8,#12)|add(#13,#14)|divide(#15,#2)|divide(#16,#17)|",probability
"a string of 25 light bulbs is wired in such a way that if any individual light bulb fails , the entire string fails . if for each individual light bulb the probability of failing during time period t is 0.06 , what is the probability that the string of light bulbs will fail during the time period t ?","""the string of light bulbs will fail if at least one light bulb fails . so , let ' s find the probability of the opposite event and subtract that value from 1 . the opposite event is when none of the 25 light bulbs fails , since the probability of each light bulb not to fail is 1 - 0.06 = 0.94 the probability that none of the 25 light bulbs fails is 0.94 ^ 25 . hence , the probability that at least one light bulb fails is 1 - 0.94 ^ 25 . answer : d . now , you should have spotted that your reasoning was not right because of one simple thing , consider the case when we have 100 light bulbs instead of 25 , then according to your logic the probability that the string of light bulbs will fail would be 100 * 0.06 = 6 , which is not possible since the probability of an event can not be more than 1 ( 100 % ) .""","a ) 0.06 , b ) ( 0.06 ) ^ 25 , c ) 1 - ( 0.06 ) ^ 25 , d ) 1 - ( 0.94 ) ^ 25 , e ) ( 0.94 ) ^ 25",d,"subtract(const_1, power(subtract(const_1, 0.06), 25))","subtract(const_1,n1)|power(#0,n0)|subtract(const_1,#1)|",probability
"a basket contains 7 apples , of which 1 is spoiled and the rest are good . if we select 2 apples from the basket simultaneously and at random , what is the probability that the 2 apples selected will include the spoiled apple ?","""the total number of ways to choose 2 apples is 7 c 2 = 21 the number of ways that include the spoiled apple is 6 c 1 = 6 p ( the spoiled apple is included ) = 6 / 21 = 2 / 7 the answer is b .""","a ) 1 / 5 , b ) 2 / 7 , c ) 2 / 9 , d ) 3 / 5 , e ) 4 / 11",b,"divide(choose(subtract(7, 1), 1), choose(7, 2))","choose(n0,n2)|subtract(n0,n1)|choose(#1,n1)|divide(#2,#0)|",probability
"the only items of clothing at michelle ’ s boutique are 4 shirts , 8 pairs of pants and 18 ties . what is the probability of randomly selecting 2 ties out of all the items in michelle ’ s boutique ?","we have 4 shirts , 8 pairs of pants and 18 ties . i . e 30 items total ways of picking two items out of all = 30 c 2 = 435 total ways of picking two items out of all ties = 18 c 2 = 153 required probability = 153 / 435 = 51 / 145 answer : option a","a ) 51 / 145 , b ) 9 / 25 , c ) 3 / 5 , d ) 94 / 145 , e ) 5 / 6",a,"divide(choose(18, const_2), choose(add(add(4, 8), 18), const_2))","add(n0,n1)|choose(n2,const_2)|add(n2,#0)|choose(#2,const_2)|divide(#1,#3)",probability
